A;K;Linf
14.187;0.28;16
11.78;0.24;15.5
16.981;0.325;16.5
10.561;0.23;14.5
3.648;0.09;12.8
5.6848;0.16;11.22
NaN;NaN;NaN
4.6597;0.15;9.81
1.4912;0.217;2.17
2.963;0.136;6.88
3.6629;0.152;7.61
3.1169;0.17;5.79
3.1747;0.462;2.17
2.8842;0.138;6.6
9.6256;0.2983;10.19
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
14.544;0.352;13.047
94.895;2.83;10.589
2.66;0.105;8
1.6043;0.108;4.691
47.988;0.9;16.838
15.067;0.26;18.3
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.6171;0.223;2.29
0.8037;0.09;2.82
8.4723;0.259;10.33
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
8.1168;0.32;8.01
7.315;0.3;7.7
7.922;0.31;8.07
6.7032;0.28;7.56
NaN;NaN;NaN
NaN;NaN;NaN
6.1495;0.26;7.469
NaN;NaN;NaN
NaN;NaN;NaN
3.817;0.076;15.86
7.2416;0.834;2.742
6.9042;0.4106;5.31
7.4027;0.485;4.82
15.282;0.78;6.187
NaN;NaN;NaN
18.031;0.39;14.6
0.6693;0.062;3.409
NaN;NaN;NaN
16.733;0.738;7.16
10.485;0.262;12.638
NaN;NaN;NaN
NaN;NaN;NaN
5.2491;0.16;10.36
9.1437;0.25;11.55
6.7172;0.273;7.77
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.1283;0.4017;0.887
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.5068;0.067;7.1021
2.3688;0.0713;10.491
7.1007;0.1309;17.13
NaN;NaN;NaN
19.365;0.39;15.68
17.797;0.5;11.24
5.681;0.13;13.8
5.3627;0.185;9.154
3.5642;0.234;4.81
0.62548;0.0823;2.4
0.59544;0.0726;2.59
0.71354;0.0555;4.06
0.66527;0.0492;4.27
7.2019;0.1562;14.56
9.9846;0.2257;13.97
10.256;0.2284;14.18
6.6461;0.142;14.78
16.825;0.398;13.35
9.9903;0.233;13.54
8.1044;0.19;13.47
13.102;0.32;12.93
13.49;0.289;14.74
8.4317;0.183;14.55
13.301;0.284;14.79
12.441;0.246;15.97
9.3855;0.176;16.84
12.732;0.31;12.97
12.44;0.273;14.39
10.331;0.223;14.63
5.9444;0.147;12.77
9.1963;0.226;12.85
