F_name;Linf;K;A
Acanthochaenus luetkenii;11.04;0.414;2.645
Acanthocybium solandri;159.5;0.3605;17.067
Acanthopagrus australis;29.5;0.51;6.8097
Acanthopagrus bifasciatus;36.05;0.2455;3.81
Acanthopagrus butcheri;39.375;0.215;3.5649
Acanthurus blochii;27.6;0.25;3.1755
Acanthurus dussumieri;30.8;0.296;4.0822
Acanthurus nigricans;14.3;0.28;2.172
Acanthurus nigrofuscus;14.65;1.115;8.8073
Acanthurus xanthopterus;42.6;0.287;5.0481
Achoerodus gouldii;83.2;0.11;3.1965
Agonus cataphractus;15;0.475;3.819
Albatrossia pectoralis;127.78;0.146;5.8532
Aldrichetta forsteri;40;0.51;8.5567
Alectis indica;105;0.17;5.8821
Alepocephalus bairdii;85.3;0.077;2.2798
Alepocephalus rostratus;21.7;0.862;9.142
Allocareproctus jordani;34;0.41;6.0895
Alosa immaculata;40.6;0.273;4.6318
Amblygaster sirm;22.6;1.61;17.603
Ammodytes americanus;18.8;0.24;2.2857
Ammodytes dubius;25.6;0.35;4.2018
Ammodytes hexapterus;15.1;0.4255;3.4381
Anarhichas lupus;113;0.115;4.2043
Anchoa mitchilli;10.7;0.36;2.2466
Anoplopoma fimbria;80.691;0.23836;6.7694
Aphanius fasciatus;8.68;0.19;1.0135
Aphia minuta;6.4567;1.75;7.4771
Archosargus probatocephalus;45.467;0.36133;6.6737
Archosargus rhomboidalis;22;1.27;13.609
Argentina silus;41.54;0.175;3.0205
Argyrops filamentosus;45.6;0.227;4.2019
Argyrops spinifer;65.85;0.19125;4.6635
Argyrosomus regius;171.9;0.15;7.5117
Argyrozona argyrozona;62.3;0.08;1.8713
Arius latiscutatus;65;0.154;3.7188
Arius parkii;61.2;0.171;3.9469
Arnoglossus laterna;15.95;0.44267;3.7268
Arnoglossus thori;17.4;0.5475;4.9203
Arrhamphus sclerolepis krefftii;26.3;0.66;8.0854
Arripis georgianus;25.85;0.77875;9.4175
Arripis trutta;55.3;0.32367;6.9236
Arripis truttacea;62.9;0.275;6.4791
Artediellus camchaticus;19.35;0.155;1.5085
Aspidophoroides monopterygius;15.545;0.2335;1.9283
Atheresthes evermanni;91.3;0.105;3.2714
Atherina boyeri;10.77;0.6505;4.0794
Atherina presbyter;13.7;0.7;5.2581
Atractoscion nobilis;146;0.128;5.6711
Atrobucca nibe;48;0.28717;5.524
Austroglossus pectoralis;44;0.339;6.1091
Auxis rochei;51.9;0.47075;9.6019
Auxis thazard;51.967;0.89433;18.259
Bairdiella chrysoura;16.3;3.055;26.142
Bajacalifornia burragei;23.2;0.26;2.8992
Balistes capriscus;42.175;0.32375;5.6519
Balistes polylepis;55.8;0.17;3.6611
Balistes vetula;41.5;0.3;5.1743
Bathyagonus nigripinnis;27.3;0.26;3.2756
Bathypterois dubius;18.85;0.14333;1.3678
Bathysolea profundicola;13.7;0.574;4.3117
Bellator gymnostethus;10.8;0.876;5.5051
Belone belone;56.033;0.351;7.5829
Belone euxini;56;0.3249;7.0159
Benthosema glaciale;8.5;0.36;1.8904
Benthosema suborbitale;3.3;3.65;9.4269
Beryx splendens;50.313;0.2125;4.2346
Boops boops;28.892;0.20283;2.6663
Boreogadus saida;27.95;0.2245;2.8787
Borostomias panamensis;35.9;0.24;3.713
Bothus podas;16.95;0.5825;5.1329
Bovichtus diacanthus;20.7;0.49;5.0161
Branchiostegus argentatus;39.4;0.312;5.1757
Branchiostegus auratus;43.05;0.3085;5.4692
Branchiostegus japonicus;46.586;0.24914;4.6863
Brevoortia patronus;25.681;0.43387;5.221
Buglossidium luteum;11.6;0.54233;3.5958
Calamus nodosus;51.2;0.174;3.5131
Calamus proridens;30.6;0.254;3.4859
Callionymus belcheri;10.75;0.444;2.7806
Calotomus japonicus;51.3;0.28;5.6616
Capros aper;11.8;0.34433;2.3125
Carangoides chrysophrys;73.3;0.245;6.4742
Carangoides ferdau;77.3;0.21;5.7749
Caranx caballus;52.02;0.362;7.3965
Caranx caninus;89.9;0.18067;5.564
Caranx ignobilis;152;0.08;3.6531
Caranx rhonchus;48.6;0.16;3.1066
Caranx ruber;56;0.143;3.0879
Careproctus zachirus;30.9;0.36;4.9769
Carlarius heudelotii;70;0.142;3.625
Cataetyx alleni;9.95;0.942;5.5669
Caulolatilus affinis;38.8;0.173;2.837
Caulolatilus microps;85;0.16786;4.9567
Centracanthus cirrus;16.8;0.4695;4.1097
Cephalopholis fulva;28.1;0.2;2.5748
Cephalopholis taeniops;54.3;0.135;2.8486
Cepola macrophthalma;67.95;0.23075;5.7607
Cetoscarus ocellatus;42.1;0.255;4.4457
