A,K,Linf
3.31115950763609,0.28,16
2.77135460822863,0.24,15.5
3.93304036135853,0.325,16.5
2.52630581527284,0.23,14.5
0.900289263096619,0.09,12.8
1.44992891040562,0.16,11.22
NaN,NaN,NaN
1.22906569956679,0.15,9.81
0.573504220537859,0.217,2.17
0.854008751416633,0.136,6.88
1.02947111251707,0.152,7.61
0.937972116801964,0.17,5.79
1.22100898566125,0.462,2.17
0.839980341454395,0.138,6.6
2.51487252043208,0.2983,10.19
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
3.57207218586578,0.352,13.0475
24.5561190852902,2.83,10.589
0.738310208510576,0.105,8
0.508867734035584,0.108,4.691
11.0584045169404,0.9,16.838
3.40050759634088,0.26,18.3
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.613639855340333,0.223,2.29
0.289508570378108,0.09,2.82
2.20600803169946,0.259,10.33
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
2.2521973828158,0.32,8.01
2.04984669806087,0.3,7.7
2.19406216777629,0.31,8.07
1.88704154662282,0.28,7.56
NaN,NaN,NaN
NaN,NaN,NaN
1.73640999339766,0.26,7.469
NaN,NaN,NaN
NaN,NaN,NaN
0.892838817480701,0.076,15.86
2.62693134459322,0.834,2.742
2.12310718432121,0.4106,5.31
2.3321640762332,0.485,4.82
4.52310608467644,0.78,6.187
NaN,NaN,NaN
4.30587415613249,0.39,14.6
0.229929145061962,0.062,3.409
NaN,NaN,NaN
4.77499820467956,0.738,7.16
2.59592498655405,0.262,12.638
NaN,NaN,NaN
NaN,NaN,NaN
1.36575211989563,0.16,10.36
2.31530697932604,0.25,11.55
1.87806446402531,0.273,7.77
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.542721005280573,0.4017,0.887
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.430868436630351,0.067,7.10205
0.614388789772061,0.0713,10.49129
1.62925758997154,0.1309,17.13
NaN,NaN,NaN
4.5426181821545,0.39,15.68
4.53708402016034,0.5,11.24
1.37589328527451,0.13,13.8
1.43916965581998,0.185,9.154
1.12345776103876,0.234,4.81
0.234579658969397,0.0823,2.4
0.219100580312194,0.0726,2.59
0.234649477980293,0.0555,4.06
0.21603200338538,0.0492,4.27
1.7210129761686,0.1562,14.56
2.41079869519773,0.2257,13.97
2.46709206690643,0.2284,14.18
1.58225418851784,0.142,14.78
4.10890504883457,0.398,13.35
2.43109541002673,0.233,13.54
1.97474663213427,0.19,13.47
3.22538050069912,0.32,12.93
3.21368303001958,0.289,14.74
2.01525690928109,0.183,14.55
3.16611404727492,0.284,14.79
2.90499827128752,0.246,15.97
2.16272508351135,0.176,16.84
3.13183418289301,0.31,12.97
2.98153784709647,0.273,14.39
2.46587008371999,0.223,14.63
1.46788689017086,0.147,12.77
2.26734636482538,0.226,12.85
2.7849529341011,0.255,14.39
2.05319798296705,0.197,13.52
4.48512662361912,0.419,14.01
2.71864400472328,0.247,14.54
3.45148921556362,0.324,13.92
3.24307165321731,0.289,14.92
2.76692381157831,0.262,13.76
2.80735417162742,0.243,15.51
2.54516003517892,0.231,14.56
2.80401495346844,0.25,14.91
3.40362904778975,0.311,14.43
2.90305965858145,0.262,14.67
1.5887614782504,0.156,13.11
1.88451977024185,0.177,13.91
2.61417732189102,0.238,14.5
5.30920915359652,0.491,14.2
4.75609831132009,0.431,14.59
4.94118520693677,0.422,15.79
5.19090112010724,0.42,16.97
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.00827578214251,0.43,1.85
6.70706738397085,0.995,7.562
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
8.94019698797447,1.98,4.432
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.00968550500019,0.14,8.275
NaN,NaN,NaN
1.44447814111817,0.15,12.167
NaN,NaN,NaN
NaN,NaN,NaN
6.35803439815104,1,6.995
6.21776658776774,1,6.79
0.218569388571026,0.028,9.196
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,0.9,NaN
NaN,0.21,NaN
0.846162259538514,0.191,4.321
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,0.248,NaN
1.42818584127261,0.3,4.756
0.27056596011045,0.112,1.925
NaN,NaN,NaN
1.96265080240123,0.274,8.2
4.68627415933129,0.447727,13.597
1.33270549645836,0.153188,10.626
3.20793097430731,0.620488,5.309
2.37169327170325,0.491615,4.841
1.28632547720114,0.179794,8.187
2.38061533279385,0.558843,4.101
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
1.62829299270239,0.4,3.86
4.23962841156342,1,4.075
1.2450236242615,0.2069,6.5
2.00903864638187,0.53,3.51
2.25077920637641,0.69,2.873
2.59215138005665,0.91,2.398
1.01962014603098,0.2314,4.29
NaN,NaN,4.14
NaN,NaN,3.32
NaN,NaN,4.02
NaN,NaN,4.31
NaN,NaN,4.28
NaN,NaN,4.19
NaN,NaN,NaN
8.25455907355846,0.84,12.5
1.76288005665759,0.21,10.132
1.56476027870563,0.298,5.42
1.60011752576902,0.36,4.34
1.84574923199124,0.352,5.41
1.65160194922919,0.324,5.21
1.15355249009385,0.253,4.49
2.04220557357196,0.31,7.334
2.45558000595145,0.38,7.148
2.38574834907543,0.42,6.019
2.24951282759076,0.36,6.835
2.1424653075628,0.34,6.912
2.22262550406917,0.37,6.485
1.82397798204553,0.27,7.584
1.60872813445738,0.25,7.108
2.46393078888879,0.39,6.936
4.16396973219436,0.495,10.16
6.00113356142725,0.86,7.919
6.70725063033632,0.98,7.717
5.43951110383798,0.84,7.168
4.75311291105581,0.709,7.507
4.03201626936767,0.567,8.121
1.87145283876166,0.31,6.528
2.022538845315,0.34,6.401
2.08259753515622,0.39,5.543
2.04948148190899,0.38,5.617
1.3234512234922,0.26,5.2
1.98517683523831,0.39,5.2
1.11971366948854,0.23,4.9
0.185229887644762,0.0223,9.99
2.74983055395854,0.58,4.73
11.0169920257061,1.47,8.71
12.690673971233,1.5,10.238
10.0893757135974,0.9,14.9
2.94864343147588,1.03,2.414
0.609336136124854,0.594,0.6144
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
12.110485381774,1.4162,10.385
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
3.69711756714277,0.343,14.14
2.86648251928015,0.244,15.86
3.84971315625907,0.326,15.97
3.36168316414281,0.265,17.57
3.90965506406012,0.328,16.17
3.72482636007663,0.367,13.05
4.28387133155295,0.346,17.01
NaN,NaN,NaN
NaN,NaN,NaN
0.172384777214297,0.02,10.495
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
0.198665568334391,0.14,0.947
0.434111556601767,0.33,0.856
0.337564170582736,0.28,0.762
0.359015837032074,0.24,1.016
0.339730207086621,0.22,1.06
0.416743970552533,0.26,1.114
0.640632447870324,0.49,0.849
0.672838040991244,0.55,0.777
0.531878109867545,0.25,1.625
0.565616437754223,0.26,1.674
0.586054629192358,0.27,1.669
0.384664931946986,0.19,1.521
0.909014799651015,0.475,1.411
1.26227539459652,0.661,1.407
