F_name;Linf;K;A
Amblyraja radiata;123.5;0.12;4.6895
Bathyraja interrupta;53.7;0.237;4.9593
Callorhinchus capensis;88.75;0.11125;3.3933
Carcharhinus acronotus;103.6;0.4875;16.699
Carcharhinus isodon;134;0.41;17.033
Carcharhinus limbatus;191.67;0.22833;12.407
Carcharhinus sorrah;111.2;0.755;27.272
Chiloscyllium plagiosum;81.405;0.295;8.4334
Dasyatis pastinaca;162.25;0.064;3.0691
Dasyatis sabina;126.5;0.284;11.3
Deania calcea;106.25;0.106;3.7004
Dipturus batis;254;0.057;3.8255
Dipturus innominatus;151;0.095;4.3167
Dipturus laevis;166;0.14;6.8297
Dipturus oxyrinchus;256;0.04;2.7004
Dipturus pullopunctatus;133;0.08;3.305
Dipturus trachyderma;255.75;0.083;5.5993
Galeocerdo cuvier;388;0.184;16.968
Galeorhinus galeus;172.95;0.146;7.3449
Iago omanensis;107.6;0.48;16.916
Leucoraja erinacea;52.4;0.32;6.5742
Leucoraja naevus;82.325;0.20975;6.047
Leucoraja ocellata;124.33;0.092333;3.6265
Leucoraja wallacei;42.2;0.26;4.541
Mobula japanica;234;0.28;17.671
Mustelus antarcticus;170.5;0.188;9.3571
Mustelus californicus;122;0.285;11.036
Mustelus henlei;91.85;0.255;7.9807
Myliobatis californica;100;0.229;7.6388
Raja asterias;67.4;0.454;11.265
Raja brachyura;122.25;0.13083;5.074
Raja clavata;118.45;0.13646;5.1682
Raja eglanteria;78.5;0.2;5.5638
Raja miraletus;89.9;0.1815;5.5897
Raja montagui;77.667;0.218;6.0162
Raja polystigma;78.5;0.11;3.0601
Raja rhina;113.57;0.15667;5.7492
Raja texana;60.4;0.26;5.9421
Raja undulata;109.19;0.1746;6.2212
Rhinobatos annulatus;112.4;0.3;10.924
Rhinobatos cemiculus;101;0.237;7.9649
Rhinobatos rhinobatos;138.69;0.22225;9.4749
Rhizoprionodon taylori;69.2;1.175;29.738
Rhizoprionodon terraenovae;74.7;0.495;13.267
Scyliorhinus canicula;81.25;0.134;3.8253
Sphyrna tiburo;102.15;0.35833;12.145
Squalus acanthias;113.84;0.14429;5.3045
Squalus blainville;102.78;0.12175;4.1455
Torpedo californica;114.55;0.105;3.8782
Urolophus paucimaculatus;50.05;0.33;6.5503
Zearaja chilensis;125;0.1155;4.5547
Zearaja nasuta;91.3;0.16;4.985
