Phylum;Winf;Wm;Var4
Teleosts;1591.5;824.9;1
Teleosts;738.23;115.47;1
Teleosts;2029.9;1168.2;1
Teleosts;9480.9;1548.5;1
Teleosts;4908.5;1359.7;1
Teleosts;7948.1;1405.5;1
Teleosts;8796.5;578.15;1
Teleosts;3192.4;1010.6;1
Teleosts;2989.5;782.77;1
Teleosts;2645.2;447.36;1
Teleosts;4116.7;1155.6;1
Teleosts;1011.4;185.82;1
Elasmobranchs;1.80E+05;58304;2
Elasmobranchs;1.82E+05;79173;2
Elasmobranchs;18412;8952;2
Elasmobranchs;23495;8370.9;2
Elasmobranchs;12108;5128.2;2
Elasmobranchs;47724;10939;2
Elasmobranchs;881.17;137.7;2
Elasmobranchs;34090;10169;2
Elasmobranchs;23104;13451;2
Elasmobranchs;5.99E+05;2.45E+05;2
Elasmobranchs;4.06E+05;1.72E+05;2
Elasmobranchs;2.37E+05;1.44E+05;2
Elasmobranchs;5.13E+05;1.79E+05;2
Elasmobranchs;36589;5297.9;2
Elasmobranchs;1.02E+05;6754.9;2
Elasmobranchs;47345;5675.7;2
Elasmobranchs;3.69E+05;2.03E+05;2
Elasmobranchs;3071.8;1567.3;2
Elasmobranchs;2790.3;2375.4;2
Elasmobranchs;1481;641.35;2
Elasmobranchs;1238.5;890.89;2
Elasmobranchs;16861;7847.9;2
Elasmobranchs;7942.2;3296.2;2
Elasmobranchs;1722;942.72;2
Elasmobranchs;3700;3313.7;2
Elasmobranchs;2069.6;958.66;2
Elasmobranchs;29289;8874.1;2
Elasmobranchs;9672.4;1345.5;2
Elasmobranchs;1349.8;500.33;2
Elasmobranchs;10973;2167.1;2
Elasmobranchs;11853;1285.7;2
Elasmobranchs;10606;1053.2;2
Elasmobranchs;3385.7;795.47;2
Elasmobranchs;1883.4;341.42;2
Teleosts;235.41;144.75;1
Teleosts;305.48;152.58;1
Teleosts;221.18;128.24;1
Teleosts;357.63;210.09;1
Teleosts;246.05;123.35;1
Teleosts;381.42;236.95;1
Teleosts;321.77;234.31;1
Teleosts;22390;5748.6;1
Teleosts;19848;3428.9;1
Teleosts;3200.4;287.23;1
Teleosts;3853.4;711.49;1
Teleosts;625.78;62.64;1
Teleosts;641.15;237.64;1
Teleosts;725.72;145.25;1
Teleosts;2316.1;254.05;1
Teleosts;1061.2;190.31;1
Teleosts;1770.8;199.32;1
Teleosts;1227.6;134.12;1
Teleosts;589.06;144.59;1
Teleosts;76.18;42.47;1
Teleosts;216.8;120.64;1
Teleosts;455.63;173.94;1
Teleosts;11825;1455;1
Teleosts;1508.9;180.37;1
Teleosts;9973.2;2260.5;1
Teleosts;2645.2;701.67;1
Teleosts;3254.3;2016.2;1
Teleosts;1641.7;1186.7;1
Teleosts;14097;1763.3;1
Teleosts;216.8;66.86;1
Teleosts;5329.1;873.42;1
Teleosts;2974.8;291.68;1
Teleosts;722.62;375.8;1
Teleosts;1490.1;549.46;1
Bivalves;9.9764;0.131;3
Bivalves;6.9995;0.0445;3
Bivalves;20695;86.7;3
Bivalves;4.2789;0.163;3
Bivalves;0.62309;0.0512;3
Bivalves;27.727;0.924;3
Bivalves;1.2386;0.0623;3
Bivalves;0.020494;0.0029572;3
Bivalves;0.032346;0.0060744;3
Bivalves;0.33721;0.00976;3
Bivalves;174.27;0.32;3
Bivalves;2.3206;0.0672;3
Bivalves;143.77;10.537;3
Bivalves;3.192;0.050994;3
Bivalves;222.88;1.21;3
Bivalves;11.607;1.14;3
Bivalves;11.016;0.46883;3
Bivalves;66.964;2.17;3
Bivalves;29.895;0.134;3
Bivalves;146.61;2.69;3
Bivalves;122.6;32.466;3
Bivalves;14.267;0.877;3
Bivalves;228.54;3.52;3
Bivalves;936.65;32.6;3
Bivalves;22.364;0.763;3
Bivalves;241.65;1.4826;3
Bivalves;187.93;12.4;3
Bivalves;23.693;3.42;3
Bivalves;629.58;5.0342;3
Bivalves;319.82;3;3
Bivalves;56.21;8.5;3
Bivalves;1473.8;0.002116;3
Bivalves;468.76;1.04;3
Bivalves;5.6553;0.69;3
Bivalves;307.39;0.311;3
Bivalves;51.395;0.664;3
Bivalves;472.1;4.91;3
Bivalves;123.71;0.0693;3
Bivalves;105.77;0.381;3
Bivalves;43.377;0.63;3
Bivalves;38.393;8.28;3
Bivalves;1.8419;0.0506;3
Bivalves;0.50073;0.0058778;3
Bivalves;5.3652;0.104;3
Bivalves;28.248;2.676;3
Bivalves;747.14;4.15;3
Bivalves;84.531;0.0972;3
Bivalves;115.61;25.662;3
Bivalves;427.62;8.1;3
