BRP;M;Linf;FBRP2;M2;Winf
0.098;0.18;253.86;0.196;0.36;1.64E+05
0.04;0.18;253.86;0.08;0.36;1.64E+05
0.115;0.18;253.86;0.23;0.36;1.64E+05
0.03;0.18;253.86;0.06;0.36;1.64E+05
0.2;0.247;179;0.4;0.494;57353
0.012;0.113;374.3;0.024;0.226;5.24E+05
0.15;0.105;204;0.3;0.21;84897
0.106;0.55;99.45;0.212;1.1;9835.9
0.08;0.55;69.1;0.16;1.1;3299.4
9.60E-02;0.25;212.15;0.192;0.5;95484
4.60E-02;0.132;282.6;0.092;0.264;2.26E+05
0.208;0.09;160;0.416;0.18;40960
0.169;0.098;171.7;0.338;0.196;50619
0.285;0.33;182.4;0.57;0.66;60684
0.063;0.125;322.6;0.126;0.25;3.36E+05
0.11;0.09;110.8;0.22;0.18;13603
0.066;0.247;179;0.132;0.494;57353
0.106;0.44;101.8;0.212;0.88;10550
2.20E-02;4.20E-01;101.8;0.044;0.84;10550
1.42E-01;2.50E-01;212.15;0.284;0.5;95484
2.50E-02;1.13E-01;374.3;0.05;0.226;5.24E+05
1.50E-02;1.13E-01;374.3;0.03;0.226;5.24E+05
0.151;0.2;347;0.302;0.4;4.18E+05
7.40E-02;0.223;347;0.148;0.446;4.18E+05
0.18;0.23;347;0.36;0.46;4.18E+05
1.69E-01;2.30E-01;347;0.338;0.46;4.18E+05
0.04;0.09;108.91;0.08;0.18;12918
0.03;0.13;103;0.06;0.26;10927
0.03;0.16;94;0.06;0.32;8305.8
0.04;0.17;106.2;0.08;0.34;11978
0.04;0.11;106.25;0.08;0.22;11995
0.04;0.13;108.91;0.08;0.26;12918
0.06;0.09;108.91;0.12;0.18;12918
0.04;0.09;108.91;0.08;0.18;12918
0.05;0.17;124;0.1;0.34;19066
0.05;0.16;134;0.1;0.32;24061
0.06;0.09;108.91;0.12;0.18;12918
0.06;0.09;108.91;0.12;0.18;12918
0.035;0.0665;168;0.07;0.133;47416
0.005;0.13;403.5;0.01;0.26;6.57E+05
0.059;0.11;651;0.118;0.22;2.76E+06
0.042;0.234;651;0.084;0.468;2.76E+06
0.071;0.11;651;0.142;0.22;2.76E+06
0.038;0.08;343.7;0.076;0.16;4.06E+05
0.028;0.179;343.7;0.056;0.358;4.06E+05
0.052;0.179;343.7;0.104;0.358;4.06E+05
0.051;0.08;343.7;0.102;0.16;4.06E+05
0.055;0.18;265;0.11;0.36;1.86E+05
0.081;0.203;265;0.162;0.406;1.86E+05
0.044;0.18;265;0.088;0.36;1.86E+05
0.066;0.125;322.6;0.132;0.25;3.36E+05
0.061;0.16;322.6;0.122;0.32;3.36E+05
0.022;0.125;322.6;0.044;0.25;3.36E+05
0.07;0.13;419.3;0.14;0.26;7.37E+05
0.085;0.15;116;0.17;0.3;15609
0.045;0.129;287;0.09;0.258;2.36E+05
0.235;0.129;287;0.47;0.258;2.36E+05
0.041;0.129;287;0.082;0.258;2.36E+05
0.034;0.129;287;0.068;0.258;2.36E+05
0.063;0.129;250;0.126;0.258;1.56E+05
0.024;0.125;598.5;0.048;0.25;2.14E+06
0.047;0.125;598.5;0.094;0.25;2.14E+06
0.031;0.179;165;0.062;0.358;44921
0.008;0.162;165;0.016;0.324;44921
0.041;0.179;165;0.082;0.358;44921
0.012;0.094;110.8;0.024;0.188;13603
0.02;0.065;110.8;0.04;0.13;13603
0.041;0.091;110.8;0.082;0.182;13603
0.034;0.15;204;0.068;0.3;84897
0.011;0.15;204;0.022;0.3;84897
0.009;0.105;204;0.018;0.21;84897
0.034;0.14;155;0.068;0.28;37239
0.008;0.15;155;0.016;0.3;37239
0.039;0.15;155;0.078;0.3;37239
0.009;0.15;126;0.018;0.3;20004
0.028;0.15;126;0.056;0.3;20004
0.046;0.129;126;0.092;0.258;20004
0.082;0.63;69.1;0.164;1.26;3299.4
0.035;0.63;69.1;0.07;1.26;3299.4
0.032;0.14;202;0.064;0.28;82424
0.037;0.113;171.7;0.074;0.226;50619
0.055;0.1075;171.7;0.11;0.215;50619
0.039;0.113;171.7;0.078;0.226;50619
0.062;0.368;122;0.124;0.736;18158
0.169;0.368;122;0.338;0.736;18158
0.076;0.295;91.8;0.152;0.59;7736.2
0.157;0.295;91.8;0.314;0.59;7736.2
0.066;0.247;134;0.132;0.494;24061
0.059;0.186;230;0.118;0.372;1.22E+05
0.033;0.166;290.6;0.066;0.332;2.45E+05
0.11;0.16;367;0.22;0.32;4.94E+05
0.052;0.16;367;0.104;0.32;4.94E+05
0.059;0.277;232.77;0.118;0.554;1.26E+05
0.13;0.368;109.9;0.26;0.736;13274
0.039;0.197;182.4;0.078;0.394;60684
0.058;0.197;182.4;0.116;0.394;60684
0.253;0.19;72.3;0.506;0.38;3779.3
0.068;0.18;179.5;0.136;0.36;57835
0.046;0.33;125.4;0.092;0.66;19719
0.044;0.18;111.2;0.088;0.36;13750
0.021;0.07;385;0.042;0.14;5.71E+05
0.01;0.23;189.5;0.02;0.46;68050
0.018;0.31;214;0.036;0.62;98003
